broker_name,website,regulator_count,regulators,hq_country,founded_year,license_status,notes,website_enriched,research_tool_status,research_tool_vendors,research_tool_notes,research_tool_pages_checked
AIMSCAP,https://aimscap.com,2,ASIC|SERC,Cambodia,,SERC: Exceeded,Broker | Platforms: MT4,YES,none-found,,No matches found.,https://aimscap.com
Alchemy Markets,,9,FSA Seychelles|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA,Seychelles,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
ATC BROKERS,https://atcbrokers.co.uk/,2,FCA|CIMA,United Kingdom,2005,CIMA: Offshore Regulation,"Institutional, Retail | Platforms: MT Pro, MT4, MT4 Mobile",YES,none-found,,No matches found.,https://atcbrokers.co.uk/
BBH,https://www.bbh.com/en-us,1,FCA,United States,1995,FCA: Exceeded,Institution | Platforms: Asset management & advisory services,YES,none-found,,"No matches found. Brown Brothers Harriman is an institutional bank/custodian, not a retail forex/CFD broker - research-tool integrations of this kind are less applicable.",https://www.bbh.com/en-us
BCR,https://au.thebcr.com/,1,ASIC,Australia,2008,Regulated,"Institutional, Retail | Platforms: MetaTrader 4, MetaTrader 5",YES,none-found,,No matches found.,https://au.thebcr.com/
Blueberry,https://www.blueberrymarkets.com/,2,ASIC|FSC Mauritius,Australia,2016,Regulated,"Institutional, Retail | Platforms: MT4, MT5, WebTrader",YES,acuity,Acuity Trading,"MODERATE CONFIDENCE: uses bare 'Acuity' rather than the full 'Acuity Trading' name, so per the strict instruction this alone would be excluded as a false-positive risk. However, phrasing 'is supplied by Acuity' is a close variant of the FIX #1 pattern ('provided by Acuity'), and the context (market data supplier attribution on a trading site) strongly suggests this refers to Acuity Trading rather than an unrelated company. Flagged as a match per loose-recall/evidence-based instructions, but recommend manual confirmation given it never uses the full company name.",https://www.blueberrymarkets.com/
CWG Markets,https://www.cwgplatform.com/,2,FSCA|VFSC,United Kingdom,2023,VFSC: Offshore Regulation,"Institutional, Retail | Platforms: CWG",YES,competitor,Autochartist|Trading Central,"Both vendors confirmed with substantive, named partnership descriptions (not just nav links).",https://www.cwgplatform.com/
D prime,https://www.dooprime.com,3,CySEC|FMA|CIMA,Singapore,2014,VFSC: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5, Doo Prime InTrade, TradingView",YES,competitor,Trading Central,Note: actual domain is dooprime.com (redirected/resolved from the given dooprime.com URL). Confirmed via dedicated /trading-central page.,https://www.dooprime.com
darwinex,https://www.darwinex.com/,1,FCA,United Kingdom,2014,Regulated,"Broker | Platforms: MT4, MT5",YES,none-found,,No matches found.,https://www.darwinex.com/
DecodeFX,https://decodefx.com/en/,2,ASIC|VFSC,Australia,2017,VFSC: Offshore Regulation,"Retail, Institutional | Platforms: DecodeFX App, MetaTrader 4, MetaTrader 5, Web platform",YES,competitor,Autochartist|Trading Central,Both vendors confirmed with dedicated academy/tools sub-pages and detailed marketing copy.,https://decodefx.com/en/
EBC FINANCIAL GROUP,https://www.ebcfin.com/,3,FSCA|CIMA|FSC Mauritius,United Kingdom,1994,CIMA: Offshore Regulation,"Institution | Platforms: MT4, MT5",YES,unscraped,,Both scrape attempts redirected to an AWS S3 bucket URL (mkt-files-bucket.s3.ap-southeast-1.amazonaws.com/cn.html/) that returned HTTP 403 'AccessDenied' instead of the actual homepage. Could not access real page content; this looks like a geo/bot-detection redirect to a blocked static asset rather than the live site.,https://www.ebcfin.com/ (attempted twice)
eurotrader,https://www.eurotrader.com/en/website-home,4,FSCA|CySEC|FIN-FSA|FSC Mauritius,Cyprus,2015,Regulated,"Broker | Platforms: MT4, MT5",YES,none-found,,No matches found.,https://www.eurotrader.com/en/website-home
Fortune Prime Global,https://fortuneprime.com/,2,ASIC|VFSC,Australia,2011,VFSC: Offshore Regulation,"Institutional, Retail | Platforms: MT4 Margin WebTrader",YES,none-found,,No matches found despite very large page capture (~3M chars rawHtml).,https://fortuneprime.com/
FREEDOM 24,https://en.freedom24.com/,9,CySEC|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA,Cyprus,2001,Regulated,"Retail, Institutional | Platforms: web platform, mobile app",YES,none-found,,No matches found.,https://en.freedom24.com/
FXT,https://fxtrading.com/,2,ASIC|VFSC,Australia,2014,VFSC: Offshore Regulation,"Broker | Platforms: MT4, MT5, WebTrader",YES,competitor,Trading Central,Confirmed via nav sub-menu item with description copy.,https://fxtrading.com/
GeGold,https://www.gegoldtrade.com/,1,FSA Seychelles,Hong Kong,2016,FSA: Offshore Regulation,Broker | Platforms: MT4,YES,none-found,,No matches found.,https://www.gegoldtrade.com/
HANTEC MARKETS,https://hmarkets.com/,2,FCA|FSC Mauritius,United Kingdom,2014,Regulated,"Institutional, Retail | Platforms: Hantec Mobile, Hantec Social, MT4/MT5, Client Portal",YES,acuity,Acuity Trading,"VERY STRONG, high-confidence Acuity Trading integration - a live embedded 'AcuityAnalysisIQ' market-data/news widget with its own CDN domain (acuitycdn.azureedge.net) and news attribution 'By Acuity' visible on the homepage. This is exactly the kind of domain/widget evidence FIX #2 was designed to catch - the vendor's own CDN subdomain appears throughout image src attributes even though 'Acuity Trading' as a full company name is not spelled out verbatim (only 'Acuity' / 'acuity-widget' / 'AcuityAnalysisIQ' / 'acuitycdn'). Distinct from 'HANTEC FINANCIAL' (hantec.com) elsewhere in this batch, which instead shows a Trading Central integration - these appear to be two different sites/brands under the Hantec name.",https://hmarkets.com/
Harmovest Capital,https://hamovest.com/,10,CySEC|MFSA|ASF|FMA|FSA Denmark|AFM|FSPR|MISA|KNF|CNMV,New Zealand,2026,Regulated,"Financial Services | Platforms: MetaTrader 4, MetaTrader 5",YES,none-found,,No matches found. Note: URL given was hamovest.com (note spelling differs slightly from 'Harmovest' in the broker name); page loaded successfully under that domain.,https://hamovest.com/
iDealing.com,https://www.idealing.com,1,FCA,United Kingdom,1999,Regulated,"Broker | Platforms: iDealer Dashboard, iDealing App",YES,none-found,,UK stockbroker (equities/bonds/ISA). No vendor mentions in homepage text or HTML/hrefs.,https://www.idealing.com
ISEC,https://is-wm.com/public/index.php,1,CySEC,Cyprus,2018,CYSEC: Exceeded,"Broker | Platforms: FX, derivatives, securities & bonds trading/advisory/asset mgmt",YES,none-found,,No vendor mentions found in homepage markdown/rawHtml/hrefs.,https://is-wm.com/public/index.php
IUX,https://iux.com/en,2,FSCA|FSC Mauritius,Mauritius,2016,Regulated,"Institutional, Retail | Platforms: MetaTrader 5, MT5 WebTerminal, IUX Trade App",YES,none-found,,No vendor mentions found on homepage.,https://iux.com/en
Jefferies,http://www.jefferies.com/,2,FCA|CIRO,United States,1996,Regulated,"Retail, Institutional",YES,none-found,,Large investment bank site; no vendor mentions found on homepage.,http://www.jefferies.com/
KCM Trade,https://www.kcmtrade.com/,2,ASIC|FSC Mauritius,Mauritius,2016,Regulated,"Broker | Platforms: MT4, MT5",YES,none-found,,No vendor mentions found on homepage.,https://www.kcmtrade.com/
Lirunex,https://lirunex.com/,9,CySEC|ASF|FMA|FSA Denmark|AFM|FIN-FSA|FSC Mauritius|KNF|CNMV,Cyprus,2022,Regulated,"Forex Broker | Platforms: MT4, MT5, Lirunex Trading App",YES,none-found,,No vendor mentions found on homepage.,https://lirunex.com/
LTG,https://www.ltgmarkets.com/,2,FSA Seychelles|ASIC,Australia,2009,FSA: Offshore Regulation,"Broker | Platforms: PC, mobile app",YES,none-found,,No vendor mentions found on homepage.,https://www.ltgmarkets.com/
M4Markets,https://www.m4markets.com/,4,DFSA|MFSA|KNF|FIN-FSA,Seychelles,2019,FSA: Offshore Regulation,"Market Maker (MM) | Platforms: MT4, MT5",YES,none-found,,No vendor mentions found on homepage.,https://www.m4markets.com/
MAGIC COMPASS,https://www.magiccompass.com,9,CySEC|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV,Cyprus,2016,Regulated,"Foreign exchange, Financial derivatives, Securities, Bonds | Platforms: MetaTrader 4, MCtrader",YES,none-found,,No vendor mentions found on homepage.,https://www.magiccompass.com
Make Capital,https://www.makecapital.com/,2,FSCA|FSC Mauritius,Cayman Islands,2010,Regulated,"Retail, Institutional | Platforms: MT4, MT5",YES,none-found,,No vendor mentions found on homepage.,https://www.makecapital.com/
MEGA FUSION,https://www.mega-fusion.com/,2,FSCA|FSC Mauritius,Australia,2011,Regulated,"Institution | Platforms: MetaTrader 4, MetaTrader 5",YES,autochartist,Autochartist,"Homepage nav/research-education menu links directly to a dedicated Autochartist tools page (research-education/tools/autochartist), named explicitly in visible link text.",https://www.mega-fusion.com/
MH Markets,http://tamrontech.com/,2,FSCA|FSC Mauritius,Australia,2021,SCA: Exceeded,"Institutional, Retail | Platforms: MT4, MT5",YES,unscraped,,"Provided URL (tamrontech.com) no longer belongs to MH Markets; it now resolves to an unrelated Vietnamese mobile-game company (TAMRON VIETNAM TECHNOLOGY CO., LTD). Could not evaluate the actual MH Markets broker site since no valid URL was reachable.",http://tamrontech.com/
NCM,https://www.ncminvest.com/,1,FCA,Kuwait,1993,Regulated,Broker | Platforms: MT5,YES,none-found,,No vendor mentions found on homepage.,https://www.ncminvest.com/
OEXN,https://www.oexn.global/,7,CySEC|MFSA|ASF|FMA|FSA Denmark|AFM|FSC Mauritius,Cyprus,2022,Regulated,"Market Maker | Platforms: MT4, MT5, OEXN Trader",YES,none-found,,"No vendor mentions found on homepage; footer nav includes Tools/Social Trading/Signals sections but none named Trading Central, Autochartist, or Acuity.",https://www.oexn.global/
OFX,https://www.ofx.com/en-au/,1,ASIC,Australia,1998,Regulated,Broker | Platforms: Proprietary Web and Mobile App,YES,none-found,,"International money transfer service, not a CFD/trading-signals broker; no vendor mentions found.",https://www.ofx.com/en-au/
OnsaFX,https://onsafx.com/,1,FSCA,South Africa,,Regulated,Financial derivatives,YES,none-found,,No vendor mentions found on homepage.,https://onsafx.com/
OTSO Markets,https://www.otsomarkets.com,2,FSCA|ASIC,South Africa,,Regulated,Broker | Not yet transparency-certified on WikiLicense,YES,none-found,,No vendor mentions found on homepage.,https://www.otsomarkets.com
quadcode markets,https://quadcodemarkets.com/,1,CySEC,Australia,2019,Regulated,"Retail, Institutional | Platforms: Quadcode Markets Mobile/Desktop/Web",YES,none-found,,No vendor mentions found on homepage.,https://quadcodemarkets.com/
RKX,https://www.rkx.com/,2,FSCA|FSRA SL,Saint Lucia,2025,FSA: Offshore Regulation,Institution | Platforms: Meta Trader 4,YES,none-found,,No vendor mentions found on homepage.,https://www.rkx.com/
RS Finance,https://rs-fin.com,1,FSA Seychelles,Saint Vincent and the Grenadines,2015,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5",YES,competitor,Trading Central,"Clear, explicit Trading Central branding (registered trademark symbol) in main nav under Trading menu, with a dedicated page at /en/trading/trading-central/.","https://rs-fin.com|https://rs-fin.com/en/trading/trading-central/ (referenced in nav, not separately fetched)"
SAXO,https://www.home.saxo/en-hk,2,FCA|MAS,Hong Kong,1992,Regulated,"Retail, Institutional | Platforms: SaxoTraderGo, SaxoTraderPRO, SaxoInvestor",YES,none-found,,No vendor mentions found on homepage.,https://www.home.saxo/en-hk
Scope Markets,https://www.scopemarkets.com/en/,3,FSCA|MFSA|FSC Belize,Belize,2021,CYSEC: Unverified; FSCA: Unverified,"Forex Broker | Platforms: MT4, MT5",YES,unscraped,,Site returned HTTP 403 Forbidden (nginx) on both basic and stealth proxy attempts; could not retrieve content.,https://www.scopemarkets.com/en/
Sigma,http://www.sigma-broking.com,1,DFSA,United Kingdom,2008,Regulated,"Retail, Institution | Platforms: MetaTrader 4, webTrader, mobile apps",YES,none-found,,No vendor mentions found on homepage.,http://www.sigma-broking.com
SPREADEX,https://www.spreadex.com/financials/,1,FCA,United Kingdom,1999,Regulated,"Institutional, Retail | Platforms: Online platform, Mobile trading, TradingView",YES,none-found,,No vendor mentions found on homepage.,https://www.spreadex.com/financials/
Tavira,http://tavira.group/,1,DFSA,United Kingdom,2005,Regulated,"Retail, Institution",YES,none-found,,Institutional brokerage/asset management site; no vendor mentions found on homepage.,http://tavira.group/
TFIfx,https://tfifx.com/,10,CySEC|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Cyprus,2006,Regulated,"Forex trading, Forex agency, Financial derivatives trading, Financial derivatives agency | Platforms: MetaTrader 4",YES,none-found,,No vendor mentions found on homepage.,https://tfifx.com/
tier1fx,https://www.tier1fx.com,9,CySEC|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA,Malta,2013,Regulated,"Retail, Institutional | Platforms: T1FX MT4, JForex, FORTEX 6, FIX API",YES,none-found,,No vendor mentions found on homepage.,https://www.tier1fx.com
TIGER BROKERS,https://www.itiger.com/hk/en/,2,ASIC|FSPR,Hong Kong,2014,Regulated,"Institutional, Retail | Platforms: Tiger Trade",YES,none-found,,No vendor mentions found on homepage.,https://www.itiger.com/hk/en/
TITAN FX,https://titanfx.com/,3,FSA Seychelles|VFSC|FSC Mauritius,Vanuatu,2014,FSA: Offshore Regulation; VFSC: Offshore Regulation,"Broker | Platforms: MT4, MT5",YES,none-found,,No vendor mentions found on homepage.,https://titanfx.com/
TOPFX,https://www.topfx.com/en/,10,CySEC|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Cyprus,2019,Regulated,"Broker | Platforms: cTrader, MT4",YES,none-found,,No vendor mentions found on homepage.,https://www.topfx.com/en/
Traders’ Hub,https://tradershub.ae,1,FSA Seychelles,United Arab Emirates,2022,FSA: Offshore Regulation,"Broker | Platforms: MT5, Trades' Hub",YES,acuity,Acuity Trading,Footer disclaimer references 'Acuity AI' (not verbatim 'Acuity Trading' or 'Acuity Research Limited') in context of trading-decision information — strongly implies use of Acuity Trading's AI/research product; flagged per loose-recall instructions though the exact entity name used is 'Acuity AI' rather than 'Acuity Trading'.,https://tradershub.ae
traze,https://traze.com/,3,FSCA|JFX|BAPPEBTI,Seychelles,2004,Regulated,FCA-licensed | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://traze.com/
Trive,https://www.trive.com/int/,3,FSCA|BVI FSC|FSC Mauritius,The Virgin Islands,2013,FSC: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5",YES,competitor,Trading Central,"Homepage nav and content link directly to a dedicated /int/trading-central page, explicit 'Trading Central' branding.",https://www.trive.com/int/
uexo,https://uexo.com/,2,FSCA|FSC Mauritius,Mauritius,,Regulated,"Broker | Platforms: MT5, UEXO-Trader Web Platform",YES,acuity,Acuity Trading,Definitive Acuity Trading integration: explicit 'Powered by Acuity Trading' in structured data plus a live embedded AcuityWidgets research terminal widget on the homepage.,https://uexo.com/
UIIC,http://www.uiic.co.uk,1,FCA,United Kingdom,1994,Regulated,Institution | Institutional & Retail insurance/investment services,YES,none-found,,No vendor mentions found on homepage.,http://www.uiic.co.uk
VAHA,https://www.vahatrade.com,2,FSCA|FSRA SL,Saint Lucia,2018,Regulated,Financial Services,YES,none-found,,No vendor mentions found on homepage.,https://www.vahatrade.com
WeTrade,https://www.wetrade.com/,1,FSA Seychelles,United Kingdom,2015,FSA: Offshore Regulation,"Institution | Platforms: MT4, WeTrade APP",YES,unscraped,,"Firecrawl could not retrieve the page after two attempts ('All scraping engines failed' — tried index, fire-engine chrome-cdp/stealth, pdf, document). Site may be blocking automated access or down.",https://www.wetrade.com/
ZIFI Markets Ltd,https://www.zifimarketsltd.com/,2,FSCA|FSRA SL,Saint Lucia,,Regulated,Financial services,YES,none-found,,No vendor mentions found on homepage.,https://www.zifimarketsltd.com/
markets.com,https://global.markets.com,14,MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|CySEC|FSC Mauritius|ASIC|FCA|FSCA|KNF|CNMV|FIN-FSA,Saint Vincent and the Grenadines,2008,FSC Mauritius: Offshore Regulation; ASIC: Unverified; FCA: Unverified; FSCA: Unverified,"Broker | Platforms: Mobile App, Web, TradingView, MT4/5",YES,competitor,Trading Central,Main navigation includes a dedicated 'Trading Central' menu item linking to /trade/trading-central/ page.,https://global.markets.com
ForexMart,https://theforexmart.com/,12,MFSA|FSMA|ASF|BVI FSC|FMA|FSA Denmark|AFM|CySEC|FCA|KNF|CNMV|FIN-FSA,Cyprus,2015,FCA: Suspicious Clone,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://theforexmart.com/
Earn,,8,MFSA|FSMA|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Cyprus,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
Eurivex,http://eurivex.com/,4,MFSA|FSMA|CySEC|FIN-FSA,Cyprus,2009,Regulated,Broker | Platforms: Vienna MTF,YES,none-found,,No vendor mentions found on homepage.,http://eurivex.com/
deriv,https://www.deriv.com,6,MFSA|BVI FSC|VFSC|CIMA|KNF|FIN-FSA,Malta,1996,VFSC: Offshore Regulation; FSC: Offshore Regulation; CIMA: Offshore Regulation,"Broker | Platforms: Deriv MT5, Deriv X, Deriv cTrader, Deriv Trader, Deriv Bot, Deriv GO, SmartTrader",YES,none-found,,"Very large SPA homepage (~4.9M chars rawHtml, mostly bundled JS); no vendor mentions found via full-text grep of markdown+rawHtml.",https://www.deriv.com
Just2Trade,https://j2t.global/,4,FSMA|CySEC|KNF|FIN-FSA,Cyprus,2016,NFA: Exceeded; CBR: Suspicious Clone,"Broker | Platforms: MT4, MT5, CQG, Sterling Trader Pro",YES,competitor,Trading Central,"Multiple explicit Trading Central mentions: nav menu item, marketing copy, and an accounts-comparison table listing 'Trading Central News' and 'Trading Central Signals' as account features.",https://j2t.global/
OLIVE TREE CAPITAL MARKETS,https://www.otcm.eu/,7,FSMA|ASF|FMA|AFM|CySEC|KNF|CNMV,Cyprus,2000,Regulated,Broker,YES,none-found,,Institutional CIF; has a 'Research' nav item under Services but no vendor (Trading Central/Autochartist/Acuity) named on homepage.,https://www.otcm.eu/
GPB-Financial Services Limited,https://www.gpbfs.com.cy/,4,FSMA|CySEC|KNF|FIN-FSA,Cyprus,2009,Regulated,Broker,YES,none-found,,No vendor mentions found on homepage.,https://www.gpbfs.com.cy/
FXOpen,https://www.fxopen.com/en,4,FSMA|CySEC|FCA|FIN-FSA,Cyprus,2007,Regulated,"Broker | Platforms: MT4, MT5, TickTrader, TradingView",YES,none-found,,No vendor mentions found on homepage.,https://www.fxopen.com/en
MEGA EQUITY,https://www.megaequity.com/home,4,FSMA|CySEC|KNF|FIN-FSA,Cyprus,1999,Regulated,Broker,YES,none-found,,The /home URL given returned 404; retried base domain which loaded fine. No vendor mentions found.,https://www.megaequity.com/|https://www.megaequity.com/home (404)
OMEGA FUNDS INVESTMENT,https://www.omegainvest.com.cy/,3,FSMA|CySEC|KNF,Cyprus,2008,Regulated,"Broker | Platforms: WTS (IB), OTS",YES,none-found,,No vendor mentions found on homepage.,https://www.omegainvest.com.cy/
WISDOMPOINT CAPITAL,https://wisdompointcapital.com/,3,FSMA|CySEC|KNF,Cyprus,2012,Regulated,"Broker | Investment order reception/transmission/execution, safekeeping, credit, FX",YES,none-found,,No vendor mentions found on homepage.,https://wisdompointcapital.com/
SKANESTAS,http://www.skanestas.com/,4,FSMA|CySEC|KNF|FIN-FSA,Cyprus,2015,Regulated,Broker | Portfolio management and brokerage services,YES,none-found,,No vendor mentions found on homepage.,http://www.skanestas.com/
PURPLE TRADING,,3,FSMA|KNF|FIN-FSA,Cyprus,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
Ronin Europe,https://ron.in/,2,FSMA|CySEC,Cyprus,2005,Regulated,Broker,YES,none-found,,No vendor mentions found on homepage.,https://ron.in/
iFOREX Europe,https://www.iforex.eu,3,FSMA|CySEC|FIN-FSA,Cyprus,2009,Regulated,Broker | Web and mobile trading,YES,competitor,Trading Central,"Homepage footer explicitly lists Trading Central as a 'Featured partner' with its logo. Missed in original Phase 2 pass, likely because this section was added in a site redesign after that check ran (page modifiedTime is recent); re-verified not to be a geo-redirect artifact via paired US/DE proxy scrape.",https://www.iforex.eu
Dragon Capital,https://dccl.com.cy,3,FSMA|CySEC|FIN-FSA,Cyprus,2006,Regulated,"Broker | Investment services, trading, advice, underwriting, custody, FX, derivatives",YES,none-found,,"Cyprus investment firm (Dragon Capital (Cyprus) Limited); page links to a 'RESEARCH PORTAL' at dragon-capital.com (its own parent company's research, not a third-party vendor). No Trading Central/Autochartist/Acuity mentions found.",https://dccl.com.cy
T MARKETS,http://www.trademarkets.eu,3,FSMA|CySEC|FIN-FSA,Cyprus,2011,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,http://www.trademarkets.eu
XTrend,https://thextrend.com/,2,FSMA|CySEC,Cyprus,2018,Regulated,Broker | Platforms: XTrend App (mobile),YES,none-found,,No vendor mentions found on homepage.,https://thextrend.com/
WWF,http://www.wise-wolves.finance/,2,FSMA|CySEC,Cyprus,2016,Regulated,Broker | Institutional trading & investment instruments,YES,none-found,,No vendor mentions found on homepage.,http://www.wise-wolves.finance/
MCPRIME,https://www.mc-prime.com/en/,3,FSMA|CySEC|FSC Mauritius,Mauritius,2024,Regulated,"Broker | Platforms: MC Prime App, MT4, MT5",YES,none-found,,No vendor mentions found on homepage.,https://www.mc-prime.com/en/
Alvexo,http://www.alvexo.com/,3,FSMA|CySEC|FSA Seychelles,Seychelles,2015,FSA: Offshore Regulation,"Broker | Platforms: Alvexo WebTrader, mobile app (iOS/Android)",YES,unscraped,,DNS resolution failed for www.alvexo.com on repeated attempts (both http and https schemes) — domain does not appear to resolve currently. Could not evaluate.,http://www.alvexo.com/|https://www.alvexo.com/
TrioMarkets,http://www.triomarkets.eu,2,FSMA|CySEC,Cyprus,,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,http://www.triomarkets.eu
FXORO,https://orofintech.com/,3,FSMA|CySEC|FSA Seychelles,Seychelles,2022,FSA: Offshore Regulation,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage. Note: FXORO's site (orofintech.com) appears to be a rebrand/successor domain.,https://orofintech.com/
ONE ROYAL,https://www.oneroyalmalaysia.com/,2,FSMA|VFSC,United Kingdom,,VFSC: Unverified,Broker | WikiLicense flags this brand as lacking a verified forex license,YES,none-found,,No vendor mentions found on homepage.,https://www.oneroyalmalaysia.com/
RYNAT,http://www.rynattrading.com/,2,FSMA|CySEC,Cyprus,2001,Regulated,"Broker | Platforms: XTrend app (mobile only, no MT4/MT5)",YES,none-found,,No vendor mentions found on homepage.,http://www.rynattrading.com/
Atlantic Securities,,1,FSMA,Cyprus,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
ALPHA GOLD FUTURES,https://alphagoldfutures.com.kh,1,SERC,Cambodia,2017,Regulated,Broker | Platforms: white-label MT4/MT5,YES,none-found,,No vendor mentions found on homepage.,https://alphagoldfutures.com.kh
BLACKWELL GLOBAL,https://www.blackwellglobal.com/,2,SERC|SCB,Bahamas,2010,SCB: Offshore Regulation,Broker | Platforms: MT5,YES,none-found,,No vendor mentions found on homepage.,https://www.blackwellglobal.com/
STMARKET,,1,SERC,United Kingdom,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
G-LINK,https://goldenfxlink.com/en-US/,1,SERC,Cambodia,,Regulated,Broker | Platforms: MT4,YES,unscraped,,DNS resolution failed for goldenfxlink.com — domain does not appear to resolve currently. Could not evaluate.,https://goldenfxlink.com/en-US/
AXION TRADE,https://axiontrade.net/en,2,SERC|FSA Seychelles,Seychelles,2020,FSA: Offshore Regulation,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://axiontrade.net/en
XAUMERLION,https://xaumerlion.com.kh,1,SERC,Cambodia,2021,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://xaumerlion.com.kh
BroJets,http://brojets.com/,1,SERC,United States,2001,Regulated,"Broker | Platforms: MT4, MT5",YES,unscraped,,DNS resolution failed for brojets.com on repeated attempts — domain does not appear to resolve currently. Could not evaluate.,http://brojets.com/
Y.A.I TRADING,,1,SERC,Cambodia,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
BIC Markets,https://www.bicmarkets.com.kh/,1,SERC,Cambodia,2024,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://www.bicmarkets.com.kh/
TRIDENTPRO FUTURE,https://tridentprofuture.com.kh,1,SERC,Cambodia,,Regulated,Broker | Financial derivatives trading,YES,none-found,,No vendor mentions found on homepage.,https://tridentprofuture.com.kh
QUANTFURY,https://quantfury.com/,3,SCB|FCA|FINRA,Bahamas,2015,SCB: Offshore Regulation,Broker | Platforms: Smartphone trading app,YES,none-found,,quantfury.com redirected to a 'Quantfury Trading USA' early-access waitlist teaser page (SEC/FINRA/SIPC registered entity) rather than the main Quantfury app site; no vendor mentions found on the page that loaded.,https://quantfury.com/ (redirected to https://quantfuryusa.com/)
INFINOX,,2,SCB|FCA,United Kingdom,2009,SCB: Offshore Regulation,"Broker | Platforms: MT4, MT5",YES,no-site,,,
ST Global Markets,https://stgmarkets.com/,1,SCB,Bahamas,2022,SCB: Exceeded,"Broker | Platforms: MT5, Sterling, Tekion, DAS, Dynamics Trading, CQG, Silexx",YES,none-found,,No vendor mentions found on homepage.,https://stgmarkets.com/
PALM CAPITAL,https://www.palmglobalcapital.com/en,1,SCB,Bahamas,2023,Regulated,Broker | Platforms: MT4,YES,none-found,,Page mentions generic 'Extensive research portal' as a marketing bullet but does not name any vendor. No Trading Central/Autochartist/Acuity mentions found.,https://www.palmglobalcapital.com/en
FIXIO,https://fixiomarkets.com/en/home,1,SCB,Bahamas,2002,Regulated,"Broker | Platforms: cTrader, MT5, AdvanTrade",YES,none-found,,"Site now shows a Japanese-language notice that the CRM/client portal service has closed (as of Nov 19, 2025); no substantive homepage content or vendor mentions present.",https://fixiomarkets.com/en/home
Phillip Futures,,3,ICDX|BAPPEBTI|JFX,Indonesia,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
AGRODANA FUTURES,,3,ICDX|BAPPEBTI|JFX,Indonesia,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
MIFX,http://www.mifx.com/,3,ICDX|BAPPEBTI|JFX,Indonesia,2000,Regulated,"Broker | Platforms: MT4, MT5",YES,none-found,,No vendor mentions found on homepage.,http://www.mifx.com/
CFFOREX,https://www.cfforex.com/,3,ICDX|BAPPEBTI|JFX,Indonesia,2003,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://www.cfforex.com/
Inter Pan,http://www.interpanpasifikfutures.com,3,ICDX|BAPPEBTI|JFX,Indonesia,,BAPPEBTI: Clone Firm; ICDX: Unverified,Broker | WikiLicense flags abnormal/unverifiable licensing for this platform,YES,none-found,,No vendor mentions found on homepage.,http://www.interpanpasifikfutures.com
MENTARI MULIA,https://www.mentarimulia.co.id/,3,ICDX|BAPPEBTI|JFX,Indonesia,2018,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://www.mentarimulia.co.id/
MIDTOU,https://www.midtou.com/,2,ICDX|BAPPEBTI,Indonesia,2005,Regulated,Broker | Platforms: MT4,YES,none-found,,No vendor mentions found on homepage.,https://www.midtou.com/
VICTORY INTERNATIONAL FUTURES,,2,ICDX|BAPPEBTI,Indonesia,,Unverified (not enriched),Basic regulator-table data only; brand detail page could not be reliably located.,NO,no-site,,,
