broker_name,broker_domain,broker_url,country_or_primary_market,relationship_status,confidence_score,trading_central_products,integration_type,evidence_summary,primary_evidence_url,primary_evidence_title,primary_evidence_date,additional_evidence_urls,first_evidence_date,most_recent_evidence_date,relationship_description,relationship_type,source_type,evidence_excerpt,broker_group,broker_brand,research_notes,date_checked
Encore Capitals,encorecapitals.com,https://www.encorecapitals.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists Encore Capitals as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,Encore Capitals is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""Encore Capitals"" row, 'Trading Central' column, brokersome.com comparison table.",Encore Capitals,Encore Capitals,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
eToro,etoro.com,https://www.etoro.com,Not specified by cited source (global forex/CFD broker),CONFIRMED_ACTIVE,82,Trading Central (eToro Club members only),UNKNOWN,eToro's own posts describe Trading Central as an award-winning financial research portal; a Spanish-language post confirms 'Trading Central en Español' is also offered. ForexBrokers.com notes access is limited to eToro Club members.,https://www.etoro.com/posts/90632800-9498-11ec-8080-80001edd82ed,Stay ahead with Trading Central! - eToro,2026-08-28,https://www.etoro.com/posts/61027a80-c0fe-11ea-8080-8000698aa336,2026-08-28,2026,eToro offers Trading Central as a benefit restricted to its premium eToro Club membership tier.,PRODUCT_INTEGRATION,Established industry publication (ForexBrokers.com independent broker database),"Listed in ForexBrokers.com's alphabetical list: ""Of the 60+ brokers in our independent database, here are the forex brokers and CFD brokers that offer Trading Central.""",eToro,eToro,Access is gated behind eToro's premium Club tier rather than available broker-wide.,2026-09-01
Eurotrader,eurotrader.com,https://www.eurotrader.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists Eurotrader as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,Eurotrader is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""Eurotrader"" row, 'Trading Central' column, brokersome.com comparison table.",Eurotrader,Eurotrader,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
Evest,evest.com,https://www.evest.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists Evest as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,Evest is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""Evest"" row, 'Trading Central' column, brokersome.com comparison table.",Evest,Evest,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
eXcentral,excentral.com,https://www.excentral.com,Cyprus (global),CONFIRMED_ACTIVE,75,MT4 plugin,MT4,"DailyForex's 2026 broker review states eXcentral provides services from 'trusted third-party providers Trading Central and MTE Media', including the Trading Central MT4 plugin.",https://www.dailyforex.com/forex-brokers/excentral-review,eXcentral Review - DailyForex,2026,,,2026,eXcentral offers the Trading Central MT4 plugin to its clients per an independent 2026 broker review.,PRODUCT_INTEGRATION,Established industry publication (DailyForex),"""Services from trusted third-party providers Trading Central and MTE Media ... receives the Trading Central MT4 plugin.""",eXcentral,eXcentral,Not yet independently verified on excentral.com's own site.,2026-09-01
Exclusive Markets,exclusive-markets.com,https://www.exclusive-markets.com,Global,LIKELY_ACTIVE,68,Trading Central (technical analysis support tools),UNKNOWN,A Japanese-language broker news site (myforex.com) reported that 'Exclusive Markets' began offering Trading Central technical-analysis support tools to its clients.,https://myforex.com/ja/news/myf21092301.html,トレーディングセントラルとは？Exclusive Marketsが提供開始 - myforex.com,,,,,Exclusive Markets began offering Trading Central technical-analysis tools per a Japanese-language broker news report.,PRODUCT_INTEGRATION,"Trade press (myforex.com, Japanese-language)","""トレーディングセントラルとは？Exclusive Marketsが提供開始""",Exclusive Markets,Exclusive Markets,Discovered via multilingual (Japanese) search sweep; not yet independently confirmed on the broker's own site.,2026-09-01
Exness,exness.com,https://www.exness.com,Not specified by cited source (global forex/CFD broker),CONFIRMED_ACTIVE,88,Trading Central signals (Exness personal area / Exness Trade app),UNKNOWN,"Exness's own Insights site states new traders access technical analysis tools 'through our partnership with Trading Central', available in the Exness personal area and Exness Trade app.",https://insights.exness.com/en/deep-dives/trading-signals,Are Trading Signals Helpful or a Risky Shortcut? - Exness Insights,2026-08-28,https://insights.exness.com/en/trading-basics/forex-analysis-tools; https://www.exness.com/es/forex/forex-signals/,2026-08-28,2026,Exness is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,"Broker website (dedicated insights articles, EN + ES)","""new traders have access to high-quality technical analysis and analytical tools through our partnership with Trading Central""",Exness,Exness,,2026-09-01
FairMarkets,fair.markets,https://www.fair.markets,Mauritius (MU regional site; Arabic-language evidence),CONFIRMED_ACTIVE,82,Forex trade recommendations / research,BROKER_WEB_PLATFORM,"FairMarkets' own Arabic-language regional page runs a dedicated 'Trading Central' section under trading-signals, describing Trading Central as a B2B research/analytics provider to forex brokers.",https://siteprod.fair.markets/MU-AR/trading-signals/trading-central,Trading Central | مزود توصيات فوركس | FairMarkets,,,,2026,FairMarkets offers Trading Central-sourced forex trade recommendations to clients of its Mauritius-regulated entity.,PRODUCT_INTEGRATION,Broker website (Arabic-language regional page),"""Trading Central هي شركة B2B تقدم خدمات بحث وتحليلات لا مثيل لها لوسطاء الفوركس."" (Trading Central is a B2B company providing unmatched research and analytics services to forex brokers.)",FairMarkets,FairMarkets,Discovered via multilingual (Arabic) search sweep.,2026-09-01
Fidelity Investments,fidelity.com,https://www.fidelity.com,United States,CONFIRMED_ACTIVE,93,Trading Central (listed independent Research Firm); Recognia Technical Insight (Active Trader Pro charts),BROKER_WEB_PLATFORM,Fidelity lists 'Trading Central' by name as one of its independent equity Research Firms (separate from its Active Trader Pro 'Recognia' chart tools) with its own methodology page.,https://www.fidelity.com/trading/research-firms/trading-central,Trading Central | Research firm details & methodology - Fidelity,Live 2026,https://research2.fidelity.com/fidelity/research/reports/release2/Research/TradingCentral.asp; https://www.fidelity.com/products/atbt/help/ActiveTraderTools_Chart_Help.html,pre-2014 (Recognia era),2026,"Fidelity's Active Trader charting tools attribute technical-analysis pattern recognition to Recognia, the company Trading Central acquired in 2014; the brand name Recognia has not been updated to Trading Central on Fidelity's public pages.",CUSTOMER,Broker website (dedicated Research Firm page),"""With one click, you can view a variety of technical analysis provided by Recognia...""",Fidelity Investments,Fidelity Investments,,2026-09-01
Firstrade,firstrade.com,https://www.firstrade.com,United States,CONFIRMED_ACTIVE,92,Technical Insight; TC Market Buzz,MOBILE_APP,Firstrade's own October 2024 press release announces an 'expanded partnership' with Trading Central bringing its tools directly to the Firstrade mobile app.,https://www.firstrade.com/press/pr20241017,Firstrade Expands Partnership with Trading Central,2024-10-17,,2024-10-17,2024-10-17,Firstrade (a US FINRA/SIPC-member online brokerage) expanded its partnership with Trading Central in October 2024 to bring the research suite to its mobile app.,PRODUCT_INTEGRATION,Broker press release (own site),"""This enhanced collaboration will equip Firstrade investors with access to Trading Central's robust suite of tools, now available directly on the Firstrade mobile app.""",Firstrade,Firstrade,'Expands partnership' language implies a pre-existing relationship predating Oct 2024.,2026-09-01
FOREX.com,forex.com,https://www.forex.com,Global (UK/Europe entity evidence),CONFIRMED_ACTIVE,93,Technical Insight; Market Buzz; Analyst Views,BROKER_WEB_PLATFORM; RESEARCH_PORTAL; MOBILE_APP,FOREX.com runs a dedicated 'Trading Central' research-portal page and is independently reviewed by ForexBrokers.com (2026) as having 'full integration of Trading Central in web platform' via its Research tab.,https://www.forex.com/en/trading-tools/trading-central/,Trading Central - Technical Research Portal - FOREX.com,2026-08-28,https://www.forex.com/en/trading-platforms/; https://www.forexbrokers.com/reviews/forex-com,,2026-08-28,"FOREX.com (StoneX Group) is described by ForexBrokers.com as a 'long-time provider of Trading Central modules', with Technical Insights, Market Buzz and Analyst Views integrated into its Research tab.",PRODUCT_INTEGRATION,Broker website + established industry publication (ForexBrokers.com),"""Trading Central Get actionable trade opportunities and identified patterns from our Trading Central research portal.""",StoneX Group Inc.,FOREX.com,,2026-09-01
Forex4you,forex4you.com,https://www.forex4you.com,Global (Spanish-language evidence),CONFIRMED_ACTIVE,82,Trading Central Forex Signals,SIGNALS; BROKER_WEB_PLATFORM,Forex4you's own Spanish-language dedicated page offers free access to Trading Central's high-quality forex signals to account holders.,https://www.forex4you.com/es/trading-central/,Trading Central Señales de Forex | Forex4you,,,,2026,Forex4you offers free access to Trading Central forex signals for account holders.,PRODUCT_INTEGRATION,"Broker website (dedicated page, Spanish locale)","""Trading Central ofrece señales de Forex de alta calidad. Abre una cuenta con Forex4you y obtén acceso gratuito a las señales de Trading Central.""",Forex4you,Forex4you,Discovered via multilingual (Spanish) search sweep.,2026-09-01
ForexTB,forextb.com,https://www.forextb.com,Cyprus,CONFIRMED_ACTIVE,88,TC Market Buzz; TC Research Platform; News/analyses/ideas,BROKER_WEB_PLATFORM,"ForexTB's own site runs a dedicated 'TC Market Buzz' page; Forex Peace Army's review corroborates that ForexTB features Trading Central news, analyses, ideas, the TC Research platform, and the TC Market Buzz newsdesk for real-account clients.",https://www.forextb.com/eu/trading-central/tc-market-buzz/,TC Market Buzz - ForexTB,,https://www.forexpeacearmy.com/forex-reviews/18013/forextb-reveiw,,2026-07-10,"ForexTB (Forex TB Limited, Cyprus) runs a dedicated Trading Central Market Buzz page and independent reviews confirm broader TC Research Platform access for real-account clients.",PRODUCT_INTEGRATION,Broker website + established review site (Forex Peace Army),"""ForexTB features Trading Central news, analyses, ideas, TC Research platform, and TC Market Buzz news desk for real account clients.""",ForexTB,ForexTB,,2026-09-01
ForexTime (FXTM),forextime.com,https://www.forextime.com,Cyprus / global,LIKELY_ACTIVE,72,Technical analysis,UNKNOWN,"A Chinese-language financial trade-press article (fxshell.com / 汇讯网) states 'ForexTime provides Trading Central technical analysis to its clients', naming FXTM alongside other major brokers offering Trading Central.",https://www.fxshell.com/article/2898,ForexTime为其客户提供Trading Central技术分析 - 汇讯网,,,,,"ForexTime (FXTM) reportedly offers Trading Central technical analysis to its clients, per Chinese financial trade press.",PRODUCT_INTEGRATION,"Trade press (fxshell.com / 汇讯网, Chinese-language)","""ForexTime为其客户提供Trading Central技术分析""",ForexTime (FXTM),ForexTime (FXTM),Discovered via multilingual (Chinese) search sweep; not yet independently confirmed on forextime.com's own site — recommend direct check.,2026-09-01
Fortrade,fortrade.com,https://www.fortrade.com,United Kingdom / global,CONFIRMED_ACTIVE,85,Trading Central Analysis,MOBILE_APP; BROKER_WEB_PLATFORM,"Fortrade lists 'Trading Central Analysis' as a standing resource nav item (alongside FAQs, Market News, Market Commentary) and its blog describes Trading Central as 'a real-time research powerhouse' available on Android, iOS, web and desktop.",https://www.fortrade.com/be-professional-iframe/,Being a Professional Client - Fortrade,,https://www.fortrade.com/a/blog/using-ai-to-trade-stocks-and-revolutionize-investment-strategies/,,2026,"Fortrade offers Trading Central Analysis as a standing platform resource across web, mobile and desktop.",PRODUCT_INTEGRATION,Broker website (nav item + blog),"""Trading Central, now on Android, iOS, web, and desktop, is a real-time research powerhouse.""",Fortrade,Fortrade,Discovered while spot-verifying the brokersome.com directory listing (found via German-language search).,2026-09-02
FP Markets,fpmarkets.com,https://www.fpmarkets.com,"Australia (global, incl. regional pages e.g. Peru)",CONFIRMED_ACTIVE,90,Economic Calendar; Market Buzz (News Analytics & Sentiment); Technical Views; Daily Newsletters,BROKER_WEB_PLATFORM; RESEARCH_PORTAL,"FP Markets' own dedicated Trading Central page states the tools are integrated through its Client Portal, covering an economic calendar, Market Buzz news/sentiment analytics, Technical Views, and daily newsletters.",https://www.fpmarkets.com/trading-central/,Trading Central | Automated Fundamental & Technical Analysis - FP Markets,,https://www.fpmarkets.com/en-pe/trading-central/,,2026,"FP Markets, an ASIC/CySEC-regulated broker, integrates a broad Trading Central suite via its Client Portal.",PRODUCT_INTEGRATION,"Broker website (dedicated page, multiple regions)","""FP Markets integrates Trading Central through its Client Portal.""",FP Markets,FP Markets,,2026-09-01
Fullerton Markets,fullertonmarkets.com,https://www.fullertonmarkets.com,New Zealand,CONFIRMED_ACTIVE,76,Daily trade ideas; downloadable indicators; daily market commentary,MT4; EDUCATIONAL_CONTENT,"Finance Magnates reported in June 2018 that New Zealand retail broker Fullerton Markets partnered with Trading Central to offer daily trade ideas, downloadable indicators and daily market commentary.",https://media.fullertonmarkets.com/ar/fullerton-markets-partners-with-trading-central,Fullerton Markets Partners With Trading Central (Fullerton Markets media),2018-06-28,,2018-06-28,2018 (own-domain press page; no fresher date found),"Fullerton Markets (New Zealand) announced a Trading Central partnership in 2018 for trade ideas, indicators and market commentary.",PRODUCT_INTEGRATION,Broker press/media page (own domain),"""New Zealand retail broker Fullerton Markets ... has partnered with fintech company Trading Central.""",Fullerton Markets,Fullerton Markets,"Own-domain press confirmation found (upgraded from third-party-only Finance Magnates reporting), but still only the original 2018 announcement — no fresher confirmation located; recommend a follow-up check of Fullerton's current tools page.",2026-09-01
Fusion Markets,fusionmarkets.com,https://www.fusionmarkets.com,Australia,CONFIRMED_ACTIVE,83,Analyst Views; Technical Insight,MT4; BROKER_WEB_PLATFORM,"Fusion Markets' own blog names 'Analyst Views by Trading Central' as its #1 most-used trading tool, downloadable as an MT4 desktop indicator, alongside Technical Insight for deeper analysis.",https://fusionmarkets.com.au/posts/our-top-five-most-used-tools,Top 5 Most Used Trading Tools | Fusion Markets,,,,2026,"Fusion Markets clients rank Trading Central's Analyst Views as their most-used trading tool, available via the client hub and as an MT4 indicator.",PRODUCT_INTEGRATION,Broker website (own blog),"""#1 - Analyst Views by Trading Central. You can view it in the hub now, download it and use it as an indicator on MT4 desktop.""",Fusion Markets,Fusion Markets,,2026-09-01
FX Solutions,fxsolutions.com,https://www.fxsolutions.com,United States (legacy brand),HISTORICAL,48,Technical analysis (unspecified),UNKNOWN,Named alongside FOREX.com and Alpari in the same brief Chinese trade-press mention as a broker offering Trading Central; FX Solutions was acquired by GAIN Capital (now part of FOREX.com/StoneX) years ago and its brand no longer appears to operate independently.,https://www.fxshell.com/article/2898,ForexTime为其客户提供Trading Central技术分析 - 汇讯网,,,,,"FX Solutions, a legacy US forex brand absorbed into GAIN Capital/FOREX.com, was historically named as a Trading Central-offering broker.",HISTORICAL_CUSTOMER,"Trade press (brief mention, Chinese-language)","""全球主要经纪商如嘉盛集团、Alpari、FX Solutions等都为其...""",FX Solutions,FX Solutions,Brand appears defunct/absorbed; kept as HISTORICAL pending confirmation of current operating status.,2026-09-01
Fxcess,fxcess.com,https://www.fxcess.com,Global (Japanese and Indonesian localized evidence),CONFIRMED_ACTIVE,80,Trading Central expert insights,BROKER_WEB_PLATFORM,Fxcess's own Japanese and Indonesian-language sites both advertise 'Trading Centralの専門家の洞察' (Trading Central's expert insights) as a client benefit.,https://www.fxcess.com/ja/,Fxcess | 1分以内で簡単登録！,,https://www.fxcess-id.com/ja/temp-test/,,2026,Fxcess advertises Trading Central expert insights as a client benefit on its Japanese and Indonesian-facing sites.,PRODUCT_INTEGRATION,Broker website (Japanese + Indonesian pages),"""Trading Centralの専門家の洞察""",Fxcess,Fxcess,Discovered via multilingual (Japanese) search sweep.,2026-09-01
FXCM,fxcm.com,https://www.fxcm.com,United Kingdom / global,CONFIRMED_ACTIVE,90,Economic Insight; Expert views; Daily newsletters,BROKER_WEB_PLATFORM; MT4,"Finance Magnates (2019) reported that FXCM enhanced its Trading Station Web 2.0 HTML5 terminal with Trading Central, giving clients access to daily newsletters and expert views; ForexBrokers.com's 2026 review corroborates ongoing Trading Central availability.",https://www.financemagnates.com/forex/products/fxcm-enhances-its-ts-web-terminal-with-trading-central/,FXCM Enhances TS Web Terminal with Trading Central,2019-02-06,https://plus.fxcm.com/login/loginForm.jsp; https://www.fxcm.com/au/chinese/Tc/resources/video-library/trading-resources/trading-central; https://www.forexbrokers.com/guides/trading-central-brokers,2019-02-06,2026,FXCM integrated Trading Central into its Trading Station Web 2.0 terminal in 2019 and continues to be listed by independent reviewers as offering Trading Central in 2026.,PRODUCT_INTEGRATION,Trade press (Finance Magnates) + established industry publication (ForexBrokers.com),"""FXCM teamed up with Trading Central to help enrich its HTML5 web platform Trading Station Web 2.0.""",FXCM,FXCM,"Independently confirmed via firecrawl_map: FXCM's own 'Economic Insight' page is Trading Central-branded, and FXCM Australia runs a dedicated Chinese-language Trading Central resource hub (/au/chinese/Tc/...).",2026-09-01
FXDD,fxdd.com,https://www.fxdd.com,United States (global; evidence from Peru/Chinese-language page),CONFIRMED_ACTIVE,82,Technical and fundamental analysis,BROKER_WEB_PLATFORM,"FXDD's own Chinese-language regional page announces a partnership with Trading Central, stating FXDD (founded 2002) has long provided high-quality technical and fundamental analysis and that its collaboration with 'global online education authority Trading Central' reinforces this.",https://www.fxdd.com/pe/zh/trading-central,FXDD与Trading Central合作 (FXDD partners with Trading Central),,,,2026,"FXDD, a US-based forex broker founded in 2002, partners with Trading Central for technical/fundamental analysis, per its own Chinese-language regional page.",PRODUCT_INTEGRATION,Broker website (Chinese-language regional page),"""自2002年成立以来，FXDD一直致力为其客户群提供高质量的技术和基础分析。我们与全球在线教育权威Trading Central的合作...""",FXDD,FXDD,Discovered via multilingual (Chinese) search sweep. Recommend confirming on FXDD's English-language site.,2026-09-01
FXGiants,fxgiants.com,https://www.fxgiants.com,Global (Korean-language evidence),CONFIRMED_ACTIVE,85,Trading Central Services (technical analysis to market insights),BROKER_WEB_PLATFORM,FXGiants runs a dedicated 'Discover Opportunities with Trading Central' page (Korean-localized URL) describing a full suite of Trading Central services from technical analysis to market insight.,https://www.fxgiants.com/fxg/ko/trading-central/,Discover Opportunities with Trading Central - FXGiants,,,,2026,FXGiants runs a dedicated Trading Central product page describing technical analysis and market insight services.,PRODUCT_INTEGRATION,"Broker website (dedicated page, Korean locale)","""Trading Central Services. From technical analysis to market...""",FXGiants,FXGiants,Discovered via multilingual (Korean) search sweep.,2026-09-01
FxGrow,fxgrow.com,https://www.fxgrow.com,Cyprus,CONFIRMED_ACTIVE,88,Third-party analytics / educational material,RESEARCH_PORTAL; EDUCATIONAL_CONTENT,"FxGrow's own homepage states 'As a Trading Central partner, we deliver technical insights' and runs a dedicated Trading Central tools page.",https://www.fxgrow.com/tools-services/trading-central,FxGrow's Trading Central Tools and Services,2026,https://www.fxgrow.com/about-us/blogs/where-reliability-meets-trading-transparency; https://www.dailyforex.com/forex-brokers/fxgrow-review,,2026,FxGrow partners with Trading Central for third-party analytics and educational material per an independent 2026 review.,PRODUCT_INTEGRATION,Broker website (dedicated page) + established industry publication (DailyForex),"""Another feature is the partnership with Trading Central, a third-party analytics company ... includes educational material.""",FxGrow,FxGrow,,2026-09-01
FXORO,fxoro.com,https://www.fxoro.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists FXORO as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,FXORO is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""FXORO"" row, 'Trading Central' column, brokersome.com comparison table.",FXORO,FXORO,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
FxPro,fxpro.com,https://www.fxpro.com,Cyprus (global),CONFIRMED_ACTIVE,88,Trading Signals / expert trading insights,BROKER_WEB_PLATFORM; MT4; MT5,"FxPro's own trading-tools page offers free access to 'Trading Central's expert trading insights' for Forex, Stocks, Commodities and Indices.",https://www.fxpro.com/trading-tools/trading-signals,"Forex Technical Analysis at FxPro powered by Trading Central, Trade Signals",,https://www.forexbrokers.com/guides/trading-central-brokers,,2026,FxPro provides free access to Trading Central-powered technical-analysis trading signals across multiple asset classes.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Open an FxPro account and get free access to Trading Central's expert trading insights.""",FxPro,FxPro,,2026-09-01
FXTRADING.com (FXT),fxtrading.com,https://www.fxtrading.com,Global,CONFIRMED_ACTIVE,84,Market Buzz; Featured Ideas; Economic Calendar/Insight; Alpha Generation,BROKER_WEB_PLATFORM; MT4; MT5,"FXTRADING.com's own dedicated trading-tools page states all FXT clients can access Trading Central's tools free via its Client Portal, including economic-release impact insights.",https://fxtrading.com/en/trading-tools/trading-central,Trading Central - FXT - FXTRADING.com,,,,2026,FXTRADING.com (FXT) gives all clients free access to Trading Central tools through its Client Portal.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Trading Central's insights help you understand the potential impact of key economic releases.""",FXTRADING.com (FXT),FXTRADING.com (FXT),,2026-09-01
Hantec Financial (Hantec Markets Asia),hantec.com,https://www.hantec.com,Asia-Pacific,CONFIRMED_ACTIVE,80,Trading Central (general research/technical analysis/trading signals),BROKER_WEB_PLATFORM,"Hantec's Asia-localized trading-tools page runs a dedicated Trading Central section describing investment research, technical analysis and trading signals.",https://www.hantec.com/af/en/analytics/trading-tools/trading-central.html,Trading Central | Financial Investment Analysis - Hantec,,,,2026,"Hantec Financial's Asia-Pacific site offers Trading Central research, technical analysis and trading signals as a client tool.",PRODUCT_INTEGRATION,Broker website (dedicated page),"""Trading Central is a renowned financial services provider that offers investment research, technical analysis, and trading signals.""",Hantec Markets,Hantec Financial (Hantec Markets Asia),,2026-09-01
HonorFX,honorfx.com,https://www.honorfx.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists HonorFX as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,HonorFX is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""HonorFX"" row, 'Trading Central' column, brokersome.com comparison table.",HonorFX,HonorFX,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
HYCM,hycm.com,https://www.hycm.com,Not specified by cited source (global forex/CFD broker),CONFIRMED_ACTIVE,90,Trading Central Indicators (MT4); free lifetime access (award-page description),UNKNOWN,"HYCM runs dedicated help-center articles on installing and using Trading Central, and its awards page states it provides 'free life-time access to Trading Central'.",https://help.hycm.com/hc/en-us/articles/360000366945-Trading-Central-Trading-Tools,Trading Central: Trading Tools - HYCM Help Center,2026-08-28,https://help.hycm.com/hc/en-us/articles/115005184329-How-to-Install-Trading-Central; https://hycm.com/en/hylp/start; https://hycm.com/en/media; https://hycm.com/en/awards/hycm_is_awarded_best_broker_in_asia_2021,2026-08-28,2026,HYCM is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Broker website (help center + awards/media pages),"""Trading Central's research department offers three sets of tools for Metaquotes' MT4 to assist investors with optimal investment decisions.""",HYCM,HYCM,,2026-09-01
IC Markets,icmarkets.com,https://www.icmarkets.com,Australia / Seychelles (global),CONFIRMED_ACTIVE,88,TC Videos; Market Buzz; Technical analysis,BROKER_WEB_PLATFORM,IC Markets' own dedicated Trading Central page presents TC Videos and Market Buzz as part of its analytical-solutions offering.,https://www.icmarkets.com/global/en/trading-central,Trading Central - IC Markets,,https://www.ic.com/en/trading-central; https://www.forexbrokers.com/guides/trading-central-brokers,,2026,IC Markets integrates Trading Central's video content and Market Buzz sentiment analytics.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Empowering Investment Analytics for Everyone. Trading Central's acclaimed analytical solutions condense vast, unstructured data into concise insights.""",IC Markets,IC Markets,,2026-09-01
ICM.com (ICM Mena Securities and Financial Products Promotion L.L.C.),icm.com,https://www.icm.com,United Arab Emirates,CONFIRMED_ACTIVE,87,Technical analysis / indicators; Alpha Generation; Analyst Views; Economic Insight,MT4; MT5; BROKER_WEB_PLATFORM,"ICM.com's own dedicated Trading Central page (UAE-licensed entity) describes access to Trading Central's technical analysis, indicators, Alpha Generation, Analyst Views and Economic Insight via MT4/MT5.",https://www.icm.com/trading-central/,Market Insights & Intelligence | ICM.com,,,,2026,"ICM.com (Dubai, UAE CMA-licensed) integrates Trading Central technical analysis and indicators into its MT4/MT5 offering.",PRODUCT_INTEGRATION,Broker website (dedicated page),"""ICM.com provides access to Trading Central's leading technical analysis, identifying real-time trading opportunities.""",ICM Capital,ICM.com (UAE),,2026-09-01
iForex,iforex.com,https://www.iforex.com,Not specified by cited source (global forex/CFD broker),CONFIRMED_ACTIVE,88,Trading Signals (Powered by Trading Central),UNKNOWN,ForexBrokers.com's independently maintained broker database (dated 2026-08-28) lists iForex among brokers offering Trading Central.,https://www.iforex.com/platform/trading-signals,Trading Signals: What They Are and How to Use Them - iFOREX,2026-08-28,,2026-08-28,2026,iForex is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Powered by Trading Central.""",iForex,iForex,,2026-09-01
IG,ig.com,https://www.ig.com,United Kingdom (global; evidence from Portugal entity),CONFIRMED_ACTIVE,85,Technical analysis articles; Market alerts; Daily morning market emails,BROKER_WEB_PLATFORM,"IG's Portuguese-market platform-features page describes Trading Central as a highly specialized investment-research provider offering technical-analysis articles, market alerts, and daily morning emails on European, Asian and US markets.",https://www.ig.com/por/plataformas-avancadas-trading,Funcionalidades da Plataforma | Gráficos | IG | IG Portugal,,,,2026,"IG's advanced-platform features page (Portugal locale) lists Trading Central technical analysis, market alerts and daily market emails.",CONTENT_PROVIDER,Broker website (regional page),"""Trading Central. Análise técnica rigorosa de um provedor de pesquisa de investimento altamente especializado.""",IG,IG,Evidence found on the Portugal-locale IG site; not yet cross-checked on ig.com's main English/UK pages.,2026-09-01
