broker_name,review_slug,review_url,scrape_status,forex_broker,offers_cfds,classification_confidence,classification_reason,regulators,legal_entities,jurisdictions,source_category,needs_review,last_checked
Joe Broker,joe-broker-review,https://brokerchooser.com/broker-reviews/joe-broker-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Federal Financial Supervisory Authority (BaFin),Targobank AG,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
J.P. Morgan Self-Directed Investing,jp-morgan-self-directed-investing-review,https://brokerchooser.com/broker-reviews/jp-morgan-self-directed-investing-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,FINRA,J.P. Morgan Securities LLC,USA,FULL_REVIEW,NO,2026-09-01T15:22:18Z
K&H Értékpapír,kbc-equitas-review,https://brokerchooser.com/broker-reviews/kbc-equitas-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,"National Bank of Hungary (MNB), National Bank of Belgium (NBB)",KBC Equitas Zrt.,Hungary,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Lightyear,lightyear-review,https://brokerchooser.com/broker-reviews/lightyear-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Estonian Financial Supervision Authority (EFSA) | Financial Conduct Authority (FCA),Lightyear Europe AS | Lightyear UK Ltd,All clients | UK clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
LYNX,lynx-review,https://brokerchooser.com/broker-reviews/lynx-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Markets.com,marketsx-review,https://brokerchooser.com/broker-reviews/marketsx-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 54 currency pairs.,Cyprus Securities and Exchange Commission (CySEC) | Financial Sector Conduct Authority (FSCA) | St. Vincent and the Grenadines Financial Services Authority (SVG),Markets International Ltd. | Markets South Africa (Pty) Ltd | Safecap Investments Ltd,EEA | Rest of the world | South Africa,FULL_REVIEW,NO,2026-09-01T15:22:18Z
maxblue,maxblue-review,https://brokerchooser.com/broker-reviews/maxblue-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Federal Financial Supervisory Authority (BaFin),Deutsche Bank AG,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
mBank,mbank-review,https://brokerchooser.com/broker-reviews/mbank-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Komisja Nadzoru Finansowego (KNF),mBank S.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Mediolanum,mediolanum-review,https://brokerchooser.com/broker-reviews/mediolanum-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Commissione Nazionale per le Società e la Borsa (CONSOB),Banca Mediolanum S.p.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Merrill Edge,merrill-edge-review,https://brokerchooser.com/broker-reviews/merrill-edge-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Financial Industry Regulatory Authority (FINRA) | Securities and Exchange Commission (SEC),"Merrill Lynch, Pierce, Fenner & Smith Inc.",USA,FULL_REVIEW,NO,2026-09-01T15:22:18Z
MEXEM,mexem-review,https://brokerchooser.com/broker-reviews/mexem-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,Central Bank of Ireland | Financial Conduct Authority (FCA),"Interactive Brokers (U.K.) Limited, | Interactive Brokers Ireland Limited (IBIE), MEXEM Ltd",All clients except the UK | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Moneta Markets,moneta-markets-review,https://brokerchooser.com/broker-reviews/moneta-markets-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 45 currency pairs.,Financial Conduct Authority (FCA) | Financial Sector Conduct Authority (FSCA) | Saint Vincent and the Grenadines Financial Services Authority (SVGFSA),Moneta LLC | Moneta Markets Capital Ltd | Moneta Markets South Africa (Pty) Ltd,EU | Other countries | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
moomoo,moomoo-review,https://brokerchooser.com/broker-reviews/moomoo-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,"Australian Securities and Investments Commission (ASIC) | Canadian Investment Regulatory Organization (CIRO) | Monetary Authority of Singapore (MAS) | Securities Commission Malaysia (SC) | Securities and Exchange Commission (SEC), Financial Industry Regulatory Authority (FINRA) | The Financial Services Agency (FSA)","Futu Inc. | Futu Malaysia Sdn. Bhd. | Futu Securities (Australia) Ltd | Futu Singapore Pte. Ltd. | Moomoo Financial Canada Inc. | Moomoo Securities Japan Co., Ltd.",Australia | Canada | Japan | Malaysia | Singapore | US,FULL_REVIEW,NO,2026-09-01T15:22:18Z
MultiBank Group,multibank-review,https://brokerchooser.com/broker-reviews/multibank-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 55 currency pairs.,Australian Securities and Investment Commission | Australian Transaction Reports and Analysis Centre (AUSTRAC) | Cayman Islands Monetary Authority | Cayman Islands Monetary Authority (CIMA) | Federal Financial Supervisory Authority (BaFin) | Financial Market Authority Austria | Financial Services Commission of the British Virgin Islands (FSC) | Monetary Authority of Singapore (MAS) | Securities and Commodities Authority of the UAE | Tianjin Financial Government | Vanuatu Financial Sevices Commission (VFSC),Ikon Financial Services Corporation Ltd | MEX Asset Management (Austrian branch) GmbH | MEX Asset Management GmbH | MEX Atlantic Corporation | MEX Australia Pty Ltd | MEX Digital Pity Ltd | MEX Global Financial Services LLC | MEX Global Markets Pte. LTD. | MEX Pacific Ltd | MultiBank Group FX International Corporation,,FULL_REVIEW,NO,2026-09-01T15:22:18Z
MyInvestor,myinvestor-review,https://brokerchooser.com/broker-reviews/myinvestor-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,National Securities Market Commission (CNMV) and Banco de España (BdE),"MyInvestor Banco, S.A.",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
NinjaTrader,ninjatrader-review,https://brokerchooser.com/broker-reviews/ninjatrader-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Oanda,oanda-review,https://brokerchooser.com/broker-reviews/oanda-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 70 currency pairs.,Australian Securities and Investment Commission (ASIC) | British Virgin Islands Financial Services Commission | Canadian Investment Regulatory Organization (CIRO) | Commodity Trading Futures Commission | Financial Conduct Authority (FCA) | Financial Futures Association of Japan (FFAJ) | Malta Financial Services Authority (MFSA) | Monetary Authority of Singapore (MAS) | National Futures Association,"OANDA (Canada) Corporation | OANDA Asia Pacific Pte Ltd | OANDA Australia Pty Ltd | OANDA Corporation | OANDA Europe Limited | OANDA Europe Markets Ltd | OANDA Global Markets Ltd | OANDA Japan Co., Ltd.",Australia | Canada | EU | Japan | Other countries | Singapore | UK | US,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Optimus Futures,optimus-futures-review,https://brokerchooser.com/broker-reviews/optimus-futures-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Pekao,pekao-review,https://brokerchooser.com/broker-reviews/pekao-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Komisja Nadzoru Finansowego (KNF),Bank Polska Kasa Opieki Spółka Akcyjna (Bank Pekao S.A.),All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Pepperstone,pepperstone-review,https://brokerchooser.com/broker-reviews/pepperstone-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 97 currency pairs.,ASIC | ASIC (Australian Securities and Investments Commission) | BaFin | CMA | CMA (Capital Markets Authority) | CMA/ex-SCA | CySEC (Cyprus Securities and Exchange Commission) | CySec | DFSA | DFSA (Dubai Financial Services Authority) | FCA | FCA (Financial Conduct Authority) | SCB | SCB (Securities Commission of The Bahamas),Pepperstone EU Limited | Pepperstone Financial Services (DIFC) Limited | Pepperstone Financial Services LLC | Pepperstone Financial Services Limited | Pepperstone GmbH | Pepperstone Group Limited | Pepperstone Limited | Pepperstone Markets Kenya Limited | Pepperstone Markets Limited,"African countries | All other clients | Australia | Germany, Austria | Middle-Eastern countries | Other European countries | UK",FULL_REVIEW,NO,2026-09-01T15:22:18Z
PKO,pko-review,https://brokerchooser.com/broker-reviews/pko-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Komisja Nadzoru Finansowego (KNF),Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna (PKO Bank S.A.),All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Plus500 Futures,plus500-futures-review,https://brokerchooser.com/broker-reviews/plus500-futures-review,SCRAPE_FAILED,UNKNOWN,UNKNOWN,LOW,"Review URL was discovered, but the page scrape failed.",,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Plus500 Invest,plus500-invest-review,https://brokerchooser.com/broker-reviews/plus500-invest-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Authorized and regulated by the Cyprus Securities and Exchange Commission (#250/14),Plus500CY Ltd,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Plus500 CFD,plus500-review,https://brokerchooser.com/broker-reviews/plus500-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 71 currency pairs.,"Authorized and regulated by the Cyprus Securities and Exchange Commission (#250/14) | Authorized and regulated by the Financial Conduct Authority (#509909) | Authorized and regulated by the Seychelles Financial Services Authority (#SD039) | Canadian Investment Regulatory Organization (CIRO) | Dubai Financial Services Authority (DFSA #F005651) | Estonian Financial Supervision and Resolution Authority (#4.1-1/18) | Licensed by Israel Securities Authority (#515233914) | Licensed by Japanese Financial Services Agency (FSA #156) | Licensed by the ASIC (AFSL #417727), Financial Markets Authority in New Zealand (FSP #486026), and FSCA in South Africa (#47546) | Licensed by the Monetary Authority of Singapore (#CMS100648-1) and the IE Singapore (#PLUS/CBL/2018) | Securities Commission of the Bahamas (SCB #SIA-F250)",Plus500AE Ltd | Plus500AU Pty Ltd | Plus500BHS Ltd | Plus500CA Ltd | Plus500CY Ltd | Plus500EE AS | Plus500IL Ltd | Plus500JP Securities Ltd | Plus500SEY Ltd | Plus500SG Pte Ltd | Plus500UK Ltd,"All other clients | Australia, New Zealand and South Africa | Bahamas | Canada | EEA countries (EU, Switzerland, Norway) | Estonia | Israel | Japan | Singapore | UK | United Arab Emirates",FULL_REVIEW,NO,2026-09-01T15:22:18Z
Public.com,publiccom-review,https://brokerchooser.com/broker-reviews/publiccom-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Qtrade Direct Investing,qtrade-direct-investing-review,https://brokerchooser.com/broker-reviews/qtrade-direct-investing-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Quantfury,quantfury-review,https://brokerchooser.com/broker-reviews/quantfury-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Questrade,questrade-review,https://brokerchooser.com/broker-reviews/questrade-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Canadian Investment Regulatory Organization (CIRO),"Questrade, Inc.",All countries,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Rabobank,rabobank-review,https://brokerchooser.com/broker-reviews/rabobank-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Autoriteit Financiële Markten (AFM) and De Nederlandsche Bank (DNB),Coöperatieve Rabobank U.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Renta 4 Banco,renta-4-banco-review,https://brokerchooser.com/broker-reviews/renta-4-banco-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,National Securities Market Commission (CNMV) and Banco de España (BdE),"RENTA 4 BANCO, S.A.",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Revolut,revolut-review,https://brokerchooser.com/broker-reviews/revolut-review,SCRAPED,UNKNOWN,UNKNOWN,LOW,No conclusive forex availability field was extracted.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Robinhood,robinhood-review,https://brokerchooser.com/broker-reviews/robinhood-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Royal,royal-review,https://brokerchooser.com/broker-reviews/royal-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 180 currency pairs.,Australian Securities and Investments Commission (ASIC) | Capital Markets Authority (CMA) of Lebanon | Central Bank of Nigeria (CBN) | Cyprus Securities and Exchange Commission (CySEC) | Financial Services Authority (St. Vincent and the Grenadines) | Vanuatu Financial Services Commission (VFSC),Royal CM Limited | Royal ETP LLC | Royal ETP NG LTD | Royal Financial Trading (CY) Ltd | Royal Financial Trading Pty Ltd | Royal Financials SAL,,FULL_REVIEW,NO,2026-09-01T15:22:18Z
S Broker,s-broker-review,https://brokerchooser.com/broker-reviews/s-broker-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Federal Financial Supervisory Authority (BaFin),S Broker AG & Co. KG,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Sarwa,sarwa-review,https://brokerchooser.com/broker-reviews/sarwa-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,DFSA (DIFC) + FSRA (ADGM) | DFSA / FSRA,Sarwa Digital Wealth Limited (DFSA) / Sarwa Digital Wealth (Capital) Limited (FSRA/ADGM) | Sarwa Digital Wealth Limited / Sarwa Digital Wealth (Capital) Limited,All clients (cash) | All clients (securities),FULL_REVIEW,NO,2026-09-01T15:22:18Z
Saxo,saxo-bank-review,https://brokerchooser.com/broker-reviews/saxo-bank-review,SCRAPED,UNKNOWN,UNKNOWN,LOW,No conclusive forex availability field was extracted.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Skilling,skilling-review,https://brokerchooser.com/broker-reviews/skilling-review,SCRAPED,UNKNOWN,UNKNOWN,LOW,No conclusive forex availability field was extracted.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Smartbroker,smartbroker-review,https://brokerchooser.com/broker-reviews/smartbroker-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Federal Financial Supervisory Authority (BaFin),Smartbroker AG,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
SoFi Invest,sofi-invest-review,https://brokerchooser.com/broker-reviews/sofi-invest-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
SogoTrade,sogotrade-review,https://brokerchooser.com/broker-reviews/sogotrade-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Spreadex,spreadex-review,https://brokerchooser.com/broker-reviews/spreadex-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 60 currency pairs.,Financial Conduct Authority (FCA),Spreadex Ltd.,All available countries,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Stake,stake-review,https://brokerchooser.com/broker-reviews/stake-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Swissquote,swissquote-review,https://brokerchooser.com/broker-reviews/swissquote-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Commission de Surveillance du Secteur Financier (CSSF) | Dubai Financial Services Authority (DFSA) | Financial Conduct Authority | Financial Sector Conduct Authority (FSCA) | Hong Kong Securities and Futures Commission (SFC) | Monetary Authority of Singapore (MAS) | Swiss Financial Market Supervisory Authority (FINMA),Swissquote Asia Ltd | Swissquote Bank Europe SA | Swissquote Bank Ltd | Swissquote Ltd | Swissquote MEA Ltd | Swissquote Pte Ltd | Swissquote South Africa (Pty) Ltd,120 countries | China and the region | EU | Residents in the Middle East | Singapore | South Africa | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
tastytrade,tastytrade-review,https://brokerchooser.com/broker-reviews/tastytrade-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,"ASIC | FINRA, SEC","tastytrade Australia Pty Ltd | tastytrade, Inc.",Australia | Global,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Tickmill,tickmill-review,https://brokerchooser.com/broker-reviews/tickmill-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 62 currency pairs.,Cyprus Securities and Exchange Commission (CySEC) | Dubai Financial Services Authority (DFSA) | Financial Conduct Authority (FCA) | Financial Sector Conduct Authority (FSCA) | Financial Services Authority of Seychelles (FSA),Tickmill Europe Ltd | Tickmill Ltd Seychelles | Tickmill South Africa (Pty) | Tickmill UK Ltd,"African countries | Dubai | EU countries + Norway, Iceland, Liechtenstein | Globally many countries | UK, EU, South America, Middle East",FULL_REVIEW,NO,2026-09-01T15:22:18Z
TMGM,tmgm-review,https://brokerchooser.com/broker-reviews/tmgm-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 60 currency pairs.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Trade Nation,trade-nation-review,https://brokerchooser.com/broker-reviews/trade-nation-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 36 currency pairs.,Australian Securities and Investments Commission (ASIC) | Financial Conduct Authority (FCA) | Financial Sector Conduct Authority (FSCA) | Securities Commission of the Bahamas (SCB) | Seychelles Financial Services Authority (FSA),Finsa Europe Ltd | Finsa Pty Ltd | Trade Nation Financial (Pty) Ltd | Trade Nation Financial Markets Ltd | Trade Nation Ltd,Australia | Bahamas | Seychelles | South Africa | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Trade Republic,trade-republic-review,https://brokerchooser.com/broker-reviews/trade-republic-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Federal Financial Supervisory Authority (BaFin),Trade Republic Bank GmbH,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
TradeStation Global,tradestation-global-review,https://brokerchooser.com/broker-reviews/tradestation-global-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
TradeStation,tradestation-review,https://brokerchooser.com/broker-reviews/tradestation-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,"Securities and Exchange Commission (SEC), Financial Industry Regulatory Authority (FINRA)","TradeStation Securities, Inc.",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
TradeZero,tradezero-review,https://brokerchooser.com/broker-reviews/tradezero-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,"Canadian Investment Regulatory Organization (CIRO) | Dutch Authority for the Financial Markets (AFM) and registered with local regulators like the BaFin in Germany | FINRA, SEC | The Securities Commission of The Bahamas",TradeZero America Inc. | TradeZero Canada | TradeZero Europe | TradeZero International,"Belgium, Denmark, Germany, Luxembourg, Netherlands, Norway | Canada | Other countries | United States",FULL_REVIEW,NO,2026-09-01T15:22:18Z
Tradier,tradier-review,https://brokerchooser.com/broker-reviews/tradier-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Trading 212,trading-212-review,https://brokerchooser.com/broker-reviews/trading-212-review,SCRAPED,UNKNOWN,UNKNOWN,LOW,No conclusive forex availability field was extracted.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Tradingcom,tradingcom-review,https://brokerchooser.com/broker-reviews/tradingcom-review,SCRAPE_FAILED,UNKNOWN,UNKNOWN,LOW,"Review URL was discovered, but the page scrape failed.",,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Vanguard,vanguard-review,https://brokerchooser.com/broker-reviews/vanguard-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Financial Industry Regulatory Authority (FINRA) | Securities and Exchange Commission (SEC),Vanguard Marketing Corporation,US,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Vantage,vantage-markets-review,https://brokerchooser.com/broker-reviews/vantage-markets-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 61 currency pairs.,Australian Securities and Investment Commission (ASIC) | Cayman Islands Monetary Authority (CIMA) | Financial Conduct Authority (FCA) | Vanuatu Financial Services Commission (VFSC),Vantage Global Limited | Vantage Global Prime LLP | Vantage Global Prime Pty Ltd | Vantage International Group Limited,All clients | All other countries | Australia | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
VT Markets,vt-markets-review,https://brokerchooser.com/broker-reviews/vt-markets-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 40 currency pairs.,Australian Securities and Investments Commission (ASIC) | Financial Service Provider (FSP) | Mauritius Financial Services Commission (FSC),VT Markets Limited | VT Markets Pty | Vantage Global Prime Pty Ltd,,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Webank (Italy),webank-italy-review,https://brokerchooser.com/broker-reviews/webank-italy-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Commissione Nazionale per le Società e la Borsa (CONSOB),Banco BPM S.p.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Webull,webull-review,https://brokerchooser.com/broker-reviews/webull-review,SCRAPE_FAILED,UNKNOWN,UNKNOWN,LOW,"Review URL was discovered, but the page scrape failed.",,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
XM,xm-review,https://brokerchooser.com/broker-reviews/xm-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 55 currency pairs.,Cyprus Securities and Exchange Commission (CySEC) | Dubai Financial Services Authority (DFSA) | Dubai Financial Services Authority (DFSA) / Securities and Commodities Authority of the UAE (SCA) | Financial Sector Conduct Authority (FSCA) | Financial Services Authority Seychelles (FSA) / Financial Services Commission Mauritius (FSC) | Financial Services Commission of Belize (FSC),Trading Point MENA Limited | Trading Point MENA Limited / XM Financial Products Promotion L.L.C | Trading Point of Financial Instruments Ltd. | XM (SC) Ltd / XM International MU Ltd | XM Global Limited | XM ZA (Pty) Ltd,"EEA countries | Middle East | Rest of Africa, Asia and Latin America | Rest of the world | South Africa | United Arab Emirates",FULL_REVIEW,NO,2026-09-01T15:22:18Z
XTB,xtb-review,https://brokerchooser.com/broker-reviews/xtb-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 69 currency pairs.,Badan Pengawas Perdagangan Berjangka Komoditi (BAPPEBTI) | Capital Market Authority (CMA) | Comisión Nacional del Mercado de Valores (CNMV) | Cyprus Securities and Exchange Commission (CySEC) | Dubai Financial Services Authority (DFSA) | Financial Conduct Authority (FCA) | Financial Services Commission of Belize (FSC) | Polish Financial Supervision Authority (KNF),XTB Financial Services LLC | XTB Indonesia | XTB International Limited | XTB Limited | XTB Limited (UK) | XTB MENA Limited | XTB S.A. | XTB S.A. German Branch | XTB S.A. ORGANIZAČNÍ SLOŽKA | XTB S.A. SUCCURSALE FRANÇAISE | XTB S.A. Sucursal em Portugal | XTB S.A. Sucursal en España | XTB S.A. Varsovia Sucursala Bucuresti,"Czechia, Slovakia | EU countries except those listed below | France, Canada, Belgium | Indonesia | Other countries | Poland, Italy, Hungary | Portugal | Romania, Moldova | Spain, Andorra | Switzerland, Austria, Germany, Lichtenstein | UK | United Arab Emirates | United Arab Emirates, Saudi Arabia, Qatar, Oman, Kuwait, Bahrein",FULL_REVIEW,NO,2026-09-01T15:22:18Z
Zacks Trade,zacks-trade-review,https://brokerchooser.com/broker-reviews/zacks-trade-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Zerodha,zerodha-review,https://brokerchooser.com/broker-reviews/zerodha-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,SEBI,Zerodha Broking Ltd.,India,FULL_REVIEW,NO,2026-09-01T15:22:18Z
